"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1283,"HH-ANT",-0.055853335247247,-0.0503823031309403,0.0241541318999978,0.0225119668804605,0,0,0,0.141685979694725,1
1284,"HH",0.0367181171462103,NA,0.0203647058256789,NA,100,100,NA,0.149585425483601,1
1284,"HH-ANT",0.0424961930823808,0.00997902573625089,0.0241503423052027,0.0224623491720185,100,100,100,0.149367243218826,1
1285,"HH",0.0151341353137661,NA,0.0201250344188925,NA,100,100,NA,0.135506071220923,1
1285,"HH-ANT",0.0167548863131367,0.00280002865461219,0.0238364611867424,0.0222440347277157,100,100,100,0.135661115643807,1
1286,"HH",-0.0238389909317801,NA,0.0203724495166585,NA,100,100,NA,0.151790736848743,1
1286,"HH-ANT",-0.0241206417785266,-0.00048293689303452,0.0241666711874539,0.0224647186148056,100,100,100,0.151840676641791,1
1287,"HH",0.0447267324158672,NA,0.0201170474923718,NA,0,0,NA,0.122364092516809,1
1287,"HH-ANT",0.0359401191023318,-0.0154391929602266,0.0237776877531641,0.0222973577875674,100,100,100,0.122175422830118,1
1288,"HH",0.00106676782224623,NA,0.0203915585361894,NA,100,100,NA,0.131301754295487,1
1288,"HH-ANT",0.0250182791543064,0.0416642172486592,0.0241462684523145,0.0225677478559774,100,100,100,0.1327721966622,1
1289,"HH",-0.035456287719894,NA,0.0204340758289665,NA,100,100,NA,0.164882303396356,1
1289,"HH-ANT",-0.0102330313308899,0.0428912419203676,0.0242464185526796,0.0224921132898327,100,100,100,0.162039894158668,1
1290,"HH",-0.0144907791953256,NA,0.0201470044607263,NA,100,100,NA,0.127619379790527,1
1290,"HH-ANT",-0.0159240470144751,-0.00247636205826434,0.0238366522992924,0.0223050400425539,100,100,100,0.12778591228991,1
1291,"HH",0.00219133918262255,NA,0.0201047348915314,NA,100,100,NA,0.114288839907643,1
1291,"HH-ANT",-0.00154308146260555,-0.00661535377872241,0.0237318548346076,0.0223342150028914,100,100,100,0.114327710998237,1
1292,"HH",0.0149069232455469,NA,0.0202998300877194,NA,100,100,NA,0.135441908191686,1
1292,"HH-ANT",0.0254790420358243,0.0184253696668845,0.0240365302939355,0.0224414719991333,100,100,100,0.135305793434309,1
1293,"HH",0.014908764047405,NA,0.0202679146755461,NA,100,100,NA,0.147668068194153,1
1293,"HH-ANT",0.0145684741737563,-0.00058966166067348,0.0240344805548595,0.0223600384210253,100,100,100,0.147674210777964,1
